,,Â ,,,,,,,,,,,,,,,,"To get information regarding content check the ""catalog TAB""",,,,,,,DO
code,badge (if any),TITLE,slidedecks,github,MENTIMETER,ABSTRACT,Tags,Languages,youtube,Database,Keyspace,Partner?,Use Cases,Updated for CLI?,,,,,,,,,,,
W001,"link
","Introduction to NoSQL Apache Cassandra for App Developers
* Introduction to Cassandra
* Cassandra Fundamentals",google drive,"* intro-to-cassandra
* cassandra-fundamentals",LINK,Working Document,"Apache Cassandra
CQL",CQL,https://www.youtube.com/watch?v=EVpeqOnsDnU,,sensor_data,,n/a,,,,,,,,,,,,
W002,"link
","Cassandra Data Modelling
",google drive,cassandra-data-modeling,LINK,Working Document,"Apache Cassandra
CQL
Data Modeling",,https://www.youtube.com/watch?v=xrDfE74QnSE,,,,,,,,,,,,,,,,
W003,link,"Drivers and App Development
",google drive,github,LINK,Working Document,"Java, Python, Astra DB, Cassandra",,https://www.youtube.com/watch?v=jCq0Eg0RnLU,workshops,sensor_data,,"IoT sensor data, restful service design",Yes,,,,,,,,,,,
W004,link,"Api and microservices
",google drive,github,LINK,Working Document,,,youtube,,,,,,,,,,,,,,,,
W005,"
","Storage Attached Index (SAI)
",google drive,github,LINK,Working Document,"Astra DB, CQL, indexing, data modeling, sensor data, SAI, storage attached index",CQL,https://www.youtube.com/watch?v=GLJc1Uz9dqw,sa_index_workshop_db,sa_index,n/a,IoT sensor data,,,,,,,,,,,,
W006,link,Introduction to Machine Learning with Apache Spark and Apache Cassandra,google drive,github,LINK,Working Document,"ML, AI, machine learning, python, pyspark, spark, jupyter, notebook, interactive computing, data science",Python,https://www.youtube.com/watch?v=KLccQKxWZ4Y,workshops,machine_learning,,"machine learning, classification tasks, clustering tasks",No,,,,,,,,,,,
W007,link,Benchmark your database with NoSQLBench,google drive,github,LINK,Working Document,"performance testing, benchmarking, performance, nosqlbench, benchmark","CQL, yaml",none yet,workshops,nbkeyspace,,performance testing,,,,,,,,,,,,
W008,link,"Kubernetes, K8ssandra
",google drive,github,LINK,Working Document,,,,,,,,,,,,,,,,,,,
W009,"
",BattleStax,google drive,github,LINK,Working Document,,,,,,Netlify,,,,,,,,,,,,,
W010,"
","Workshop 1: Cassandra Certification
Workshop 2: K8ssandra Certification
",google drive,"Cassandra Certification


K8ssandra Certification
",LINK,"Cassandra Certification


K8ssandra Certification","certification, developer, administrator, Cassandra, K8ssandra, CQL, architecture, data modeling, fundamentals, exam",CQL,"https://www.youtube.com/watch?v=ZA-NBczakqk
https://www.youtube.com/watch?v=JT1Dljbfmz8 ",n/a,n/a,n/a,n/a,,,,,,,,,,,,
W011,"
","Cassandra in the cloud
",google drive,github,LINK,Working Document,,,,,,,,,,,,,,,,,,,
W012,link,"From SQL to NoSQL
",google drive,github,LINK,Working Document,"NoSQL, Relational, SQL, CQL, DSBulk, data model, schema, migration","SQL, CQL",https://www.youtube.com/watch?v=tNvBjY8izSk,sql_to_nosql_db,spring_petclinic,n/a,Pet Clinic,,,,,,,,,,,,
W013,link,"Your first Javascript application
",google drive,github,LINK,Working Document,,,,,,Netlify,,,,,,,,,,,,,
W014,link,"Tiktok application
",google drive,github,LINK,Working Document,,,,,,Netlify,,,,,,,,,,,,,
W015,link,"Netflix Application
",google drive,github,LINK,Working Document,,,,,,Netlify,,,,,,,,,,,,,
W016,"link
",React Native,google drive,github,LINK,Working Document,,,,,,Netlify,,,,,,,,,,,,,
W017,link,VueJS and TypeScript,google drive,github,LINK,Working Document,,,,,,Netlify,,,,,,,,,,,,,
W018,link,Introduction to GraphQL,google drive,github,LINK,Working Document,"GraphQL, Stargate, JAMStack, Netlify","Java, Javascript/NodeJS/React",https://www.youtube.com/watch?v=0yLysXQNJ1g,workshops,intrographql,,client/server app,Yes,,,,,,,,,,,
W019,link,Introduction to NoSQL,google drive,github,LINK,Working Document,"Cassandra, Astra DB",,https://www.youtube.com/watch?v=rhzUrejsA4A,workshops,nosql1,,,,,,,,,,,,,,
W020,link,Pulsar and Astra Streaming,google drive,github,LINK,Working Document,,,,,,,,,,,,,,,,,,,
W021,link,Cassandra and Quarkus,google drive,github,LINK,Working Document,,,,,,,,,,,,,,,,,,,
W022,link,Todo Application (Spring Data),google drive,github,LINK,Working Document,,,,,,,,,,,,,,,,,,,
W023,link,eCommerce Application,google drive,github,LINK,Working Document,"Java, Spring Boot, Spring Data, Astra DB, Cassandra, Astra Streaming",Java,"week 1 - https://www.youtube.com/watch?v=4djnV5wZSeg
week 2 - https://www.youtube.com/watch?v=8KmSN3KEspE
week 3 - https://www.youtube.com/watch?v=sGBFNDvk0pA
week 4 - https://www.youtube.com/watch?v=h7BEsnMk1_E
",demos,ecommerce,,Retail,,,,,,,,,,,,
W024,link,Stargate Wheel App (Spring Data),google drive,github,LINK,Working Document,,,,,,,,,,,,,,,,,,,
W025,link,"PetClinic App (Spring, Reactive)",google drive,github,LINK,Working Document,,,,,,,,,,,,,,,,,,,
W026,link,"NLP as an API - Text classification using Keras, FastAPI and NoSQL",google drive,github,LINK,Working Document,"AI, LSTM, neural networks, API, FastAPI, tensorflow, keras, python",Python,Latest video,workshops,spamclassifier,CodingEnterpreneurs,AI models in production,Yes,,,,,,,,,,,
W027,link,Build a Multiplayer Real-time Game with Astra Streaming,google drive,github,LINK,Working Document,"Streaming, multiplayer, websockets, reactJS, Pulsar","Python, NodeJS",Latest video,workshops,drapetisca,,Multiplayer real-time gaming,,,,,,,,,,,,
W028,link,Better Reads (Spring),google drive,github,LINK,Working Document,"Spring, Webflux, Reactive, ",,,,,,,,,,,,,,,,,,
W029,link,Introduction to Streaming and CDC,google drive,github,LINK,Working Document,"Change data capture, streaming",Java,,,,,,,,,,,,,,,,,
W030,"

link




",Real-Time Data pipelines,google drive,github,LINK,Working Document,,,,,,,,,,,,,,,,,,,
W031,"




","Swift, IOS and Document API
",google drive,github,LINK,Working Document,,,,,,,,,,,,,,,,,,,
W032,"

link




","Quine and Astra DB
In progress 10/19",,github,LINK,Working Document,"Graph, Quine, Astra DB",,,workshops,quine,Quine,Streaming graph analytics,Yes,,,,,,,,,,,
W033,,Quarkus Spring and Micronaut,google drive,github,LINK,Working Document,,,,workshops,quine,Quine,Streaming graph analytics,Yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
001,,"Introduction do NoSQL Databases

Slides
Badge Example
Github Repository  (slides in PDF inside)
Youtube Recording",,,,,"Core Cassandra
Key-Value
Document DB",CQL,,,,,---,---,,,,,,,,,,,
,,"Introduction to GraphQL

* Slides
* Badge Example
* Github Repository  (slides in PDF inside)
* Live Youtube Recording",,,,,"Exposing GraphQL APi
- GraphQL Playground
- GraphIQL
- GraphQL Api in Astra
- Expose with DGS
- Invoke with Axio","GRAPHQL
JAVASCRIPT
JAVA",,,,,Digital Library,Digital Library,,,,,,,,,,,
001,,"Introduction do NoSQL Databases

Slides
Badge Example
Github Repository  (slides in PDF inside)
Youtube Recording",,,,,"Core Cassandra
Key-Value
Document DB",CQL,,,,,---,---,,,,,,,,,,,
,,"Introduction to GraphQL

* Slides
* Badge Example
* Github Repository  (slides in PDF inside)
* Live Youtube Recording",,,,,"Exposing GraphQL APi
- GraphQL Playground
- GraphIQL
- GraphQL Api in Astra
- Expose with DGS
- Invoke with Axio","GRAPHQL
JAVASCRIPT
JAVA",,,,,Digital Library,Digital Library,,,,,,,,,,,
,WORKSHOP,Introduction to Apache Cassandra,,,,,"Core Cassandra, ",CQL,,,,,,,,,,,,,,,,,
,WORKSHOP,Cassandra Application Development,,,,,"Core Cassandra, Drivers","CQL, Java, Python, Javascript",,,,,,,,,,,,,,,,,
,WORKSHOP,Certification Exam Preparation Workshop,,,,,,CQL,,,,,,,,,,,,,,,,,
,WORKSHOP,"From SQL to NoSQL, a migration path",,,,,,CQL,,,,,,,,,,,,,,,,,
,WORKSHOP,Cassandra Secondary Indices and SAI,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,Take Cassandra to the Cloud,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,BattleStax Workshop,,,,,,,,,,Netlify,,,,,,,,,,,,,
,WORKSHOP,Build an application with TypeScript and VueJS,,,,,,"Typescript, VueJS",,,,Netlify,,,,,,,,,,,,,
,WORKSHOP,Build your first app with Javascript and NodeJS,,,,,,"Javascript, NodeJS",,,,,,,,,,,,,,,,,
,WORKSHOP,Building a TikTok Clone with Javascript,,,,,,Javascript,,,,Netlify,,,,,,,,,,,,,
,WORKSHOP,Build a Netflix clone with GraphQL and React,,,,,,"GraphQL, React",,,,Netlify,,,,,,,,,,,,,
,WORKSHOP,Build Cassandra Microservices with Spring,,,,,,JAVA,,,,,,,,,,,,,,,,,
,WORKSHOP,Reactive Java applications with Spring,,,,,,JAVA,,,,,,,,,,,,,,,,,
,WORKSHOP,Building CRUD applications on Cassandra with Python and NodeJS,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,An Easy Backend for your application,,,,,,Node and Python,,,,,,,,,,,,,,,,,
,WORKSHOP,Getting Started with Machine Learning,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,Build a Todo App on Astra with Spring Boot and Spring Data,,,,,,JAVA,,,,,,,,,,,,,,,,,
,WORKSHOP,Bring Streaming to C* with Pulsar,,,,,,JAVA,,,,,,,,,,,,,,,,,
,WORKSHOP,Build Java/Spring Application with AstraSDK,,,,,,JAVA,,,,,,,,,,,,,,,,,
,WORKSHOP,Reactive Apps with Quarkus ,,,,,,JAVA,,,,RedHat/IBM,,,,,,,,,,,,,
,WORKSHOP,Connecting Cassandra and Kubernetes,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,Taking your App to the Cloud,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,K8ssandra 1.0,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,Benchmark your NoSQL Database,,,,,,,,,,,,,,,,,,,,,,,
,LEARNING MONDAY,Docker Learnings X4,,,,,,,,,,,,,,,,,,,,,,,
,LEARNING MONDAY,Kubernetes Basics,,,,,,,,,,,,,,,,,,,,,,,
,LEARNING MONDAY,Getting Started with Machine Learning,,,,,,,,,,,,,,,,,,,,,,,
,LEARNING MONDAY,Kubernetes Native Application Development,,,,,,,,,,,,,,,,,,,,,,,
,LEARNING MONDAY,Introduction to Pulsar X3,,,,,,,,,,,,,,,,,,,,,,,
,PARTNER,Event driven APIs with Kafka and Cassandra,,,,,,,,,,,,,,,,,,,,,,,
,PARTNER,Spark and Cassandra,,,,,,,,,,,,,,,,,,,,,,,
,PARTNER,Designing & Planning a Cloud Migration,,,,,,,,,,,,,,,,,,,,,,,
,PARTNER,Migrating Data to the Cloud [w/ Airflow],,,,,,,,,,,,,,,,,,,,,,,
,PARTNER,Take Cassandra to the Cloud,,,,,,CQL,,,,,,,,,,,,,,,,,
,WORKSHOP,Build a clone of GoodReads with Java and Spring,,,,,,"Java, Spring",,,,,,,,,,,,,,,,,
,WORKSHOP,"NLP text classification as a REST API using Keras, FastAPI & NoSQL",,,,,"Core Cassandra, Drivers","Python, Tensorflow/Keras",,,,,,,,,,,,,,,,,
,WORKSHOP,eCommerce ,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,"Multiplayer game with Event Streaming, FastAPI (A.Streaming and Astra DB)",,,,,"Pulsar, Core Cassandra, Drivers","Python, Node(React)",,,,,,,,,,,,,,,,,